$\delta_L$,$\gamma_L$,$n_y$,$\theta_L$,$\eta_x$,$\omega_x$,$m_x$,$\delta_x$,$\gamma_x$,$\theta_x$,$\rho_x$,$frac_{toggle}$,$frac_{S}$,$frac_{I}$,$frac_{out}$
0.10073724797704678,0.4894797467554305,1.3279180654354261,0.3038250063579057,0.24845977449080406,809.7936554806384,1.2675378462417217,0.024282115200672878,0.6741392500296916,0.15538666067910187,2.8209070123250664,0.9269092988575028,0.7342826552705425,0.4537515687093051,0.7232916312730109
0.1462968284494406,0.13193948743298672,2.7212581934535245,0.27501004261676965,0.45847041749935247,36.03528659954554,1.8171881175004874,0.03886327189474649,0.4639454746206866,0.10124387951318249,4.801382416668654,0.9116512064624677,0.5218026991533145,0.39344213593049215,0.1586265518913691
0.1741798064188873,0.38718444869512014,3.225867836092519,0.24542185839233058,0.5088516415030145,800.8777112787188,1.4356854001711739,0.03471648359868103,0.13174286772659222,0.08741576995792341,4.85650425208498,0.5421425021739044,0.33467414310204946,0.25656384671088317,0.4792032100211793
0.45608550006628745,0.6904419887431628,1.2962462765315776,0.24091097749829743,0.1172685671868144,709.6194567053931,1.8210744312180664,0.02343330391801988,0.5409598416145659,0.19933163438719795,6.079308782958895,0.7013015970276515,0.5982464623984245,0.5813843481019055,0.6277755808188334
0.4083582085768045,0.4309888500129276,2.4676144132510185,0.10988603458542855,0.11354508545758914,777.369612173775,1.5433556356466023,0.011326584536702343,0.3415313302041608,0.2587074029184106,3.7990475227036677,0.8465426559154805,0.8280038739375284,0.522195113488833,0.5627396516244408
0.3808835878181098,0.21509060612639003,1.7363802481818882,0.46510833082909575,0.0903271907341634,9.886240415051361,2.3962165268349516,0.014524629909242161,0.9094469609771959,0.06491766734335047,3.177634105422782,0.7366732323261052,0.27321416929288844,0.5155390355722143,0.161537667284136
0.22357619514215432,1.0657529751928152,2.656545861491815,0.3312330134295658,0.18550949878787998,679.2269824672314,1.3029113071944622,0.028803731924995656,0.5719401266713003,0.11614092273427529,8.28758569140218,0.2581167756204453,0.3018535974186516,0.9116082173287274,0.4280969464566861
0.12034846812599906,0.8625817859252524,2.341467490764428,0.22889256202763159,0.6897396493057995,493.4357388085358,1.9350434537602788,0.036041755749167445,0.5896583984240107,0.3047935977833487,8.649438293102019,0.6181024591391511,0.5612189232541687,0.681316971021766,0.9438630418838831
0.3204325369645339,0.7290045740943993,1.4015873839117567,0.022869726752936415,0.24302531377082318,840.1767863717143,2.1828342098952023,0.02759379581788559,0.6323125537436163,0.1709018813347765,6.241849958338886,0.7545303607719585,0.2345554594923227,0.5623936017385591,0.9981267306352798
0.16955078427669643,0.7162014599745234,1.3572393210065519,0.43394131505368494,0.2711785651417561,481.6272092703823,2.1853147228750887,0.010362642329129574,0.7163462872695598,0.2902238763276706,9.296711371888652,0.6693555212493962,0.7830359292191384,0.49003887288479125,0.33028630751705523
0.25457982990193423,0.5654885148310691,2.7953336438999923,0.03297324956403258,0.20146769270273027,206.36687465157877,2.310598101579356,0.03261743845858446,1.7051124199344643,0.19956998426379388,4.881082833301934,0.656084941214001,0.8361182843988955,0.2736057517837859,0.12219120824989382
0.2648349445272985,0.19602885985332827,1.8922997800287584,0.4066486140061441,0.25694299785655766,170.80747038655488,2.2908036464153865,0.032630378680589545,0.3096176213424701,0.2609282659510268,5.001703783857698,0.5927297877869413,0.9850564584028265,0.93352233738512,0.9341119261875258
0.2616634886102035,1.2846211813481223,1.5885500759990157,0.19469757753789002,0.11860407469078808,917.4912962563103,1.2998079309786386,0.016236927678719447,0.9170917099523745,0.1830529312639366,3.4008649850509833,0.6973775371785649,0.682223951040655,0.5592786860447281,0.8588262800257735
0.15694721647375845,0.3542248051946264,2.9583115463003793,0.2132400515461252,0.28123167281780204,552.7816573656518,1.4934125396750686,0.02209934603847859,0.6391035822464229,0.12529198148191678,1.2287205461780033,0.6025673025373123,0.6412027883462574,0.7556866306936161,0.9784140363868262
0.15709366124130097,0.42144389163444507,2.2767463988443613,0.12767208576107353,0.4428628923086918,496.63827114288483,1.1589090402033666,0.017421695550520446,0.11794355744345036,0.35007979288437585,5.365827371076296,0.6582825166358325,0.6437368044451223,0.6430945188191037,0.41738929679904835
0.19462278246114853,0.8702574411179206,2.253956030102362,0.1366782535665397,0.26960646383093195,707.2114184578114,2.4029200494579763,0.011543464917235739,0.18389796352515253,0.15826392828860453,6.682786318072455,0.8128194988059838,0.3047959617446113,0.854060982080082,0.5526979401164025
